latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.1109,-0.3552,322.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,61,61.03,307.3,12.9,D,0
10.3271,-1.8102,324.3,1.1,1,2023-01-01,1032,Terra,MODIS,67,61.03,307,12.2,D,0
10.1027,-0.3687,332.2,1.3,1.1,2023-01-01,1032,Terra,MODIS,80,61.03,308.1,29.8,D,0
10.1008,-0.3568,335.8,1.3,1.1,2023-01-01,1032,Terra,MODIS,84,61.03,307.9,38.1,D,0
10.0989,-0.3449,321.2,1.3,1.1,2023-01-01,1032,Terra,MODIS,43,61.03,305.1,11.1,D,0
10.0445,-0.0021,322.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,63,61.03,309.5,12.2,D,0
10.0405,0.0232,321.7,1.4,1.2,2023-01-01,1032,Terra,MODIS,64,61.03,307.8,13.3,D,0
10.3552,-2.0555,322.3,1.1,1,2023-01-01,1032,Terra,MODIS,62,61.03,308.4,8,D,0
10.3537,-2.0459,319.7,1.1,1,2023-01-01,1032,Terra,MODIS,50,61.03,307.9,5.3,D,0
10.2902,-1.6323,319.3,1.1,1.1,2023-01-01,1032,Terra,MODIS,43,61.03,307.2,5.9,D,0
10.29,-1.8622,319.8,1.1,1,2023-01-01,1032,Terra,MODIS,51,61.03,308.5,6.2,D,0
10.1275,-0.9882,322.4,1.2,1.1,2023-01-01,1032,Terra,MODIS,53,61.03,308.8,9.2,D,0
10.1194,-1.0005,320.8,1.2,1.1,2023-01-01,1032,Terra,MODIS,36,61.03,306.6,7.6,D,0
10.1178,-0.9897,322.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,58,61.03,308.5,10.3,D,0
10.062,-0.6321,324.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,68,61.03,309,13.3,D,0
10.0846,-0.905,322.8,1.2,1.1,2023-01-01,1032,Terra,MODIS,64,61.03,308.3,10.8,D,0
9.9345,-0.0253,329.9,1.4,1.2,2023-01-01,1032,Terra,MODIS,67,61.03,309.1,25.6,D,0
10.9162,-0.2577,318.9,1.3,1.1,2023-01-01,1032,Terra,MODIS,59,61.03,306.6,9.3,D,0
10.0534,-0.7794,319.5,1.3,1.1,2023-01-01,1032,Terra,MODIS,41,61.03,307.3,7.5,D,0
9.9371,-0.0184,325.4,1.4,1.2,2023-01-01,1032,Terra,MODIS,47,61.03,308.6,17.2,D,0
10.0435,-0.781,320.2,1.3,1.1,2023-01-01,1032,Terra,MODIS,55,61.03,307,8.4,D,0
9.9306,-0.0451,351.8,1.4,1.2,2023-01-01,1032,Terra,MODIS,95,61.03,307.9,87.4,D,0
9.9287,-0.0325,338.6,1.4,1.2,2023-01-01,1032,Terra,MODIS,87,61.03,308.8,46.3,D,0
10.0021,-0.5772,321.7,1.3,1.1,2023-01-01,1032,Terra,MODIS,62,61.03,307.3,11.1,D,0
9.9299,-0.1093,329.7,1.4,1.2,2023-01-01,1032,Terra,MODIS,78,61.03,308.3,27.6,D,0
9.9482,-0.2949,346.3,1.4,1.2,2023-01-01,1032,Terra,MODIS,92,61.03,310.2,64.6,D,0
9.9463,-0.2827,334.5,1.4,1.2,2023-01-01,1032,Terra,MODIS,83,61.03,308.9,33.3,D,0
9.9196,-0.111,331.6,1.4,1.2,2023-01-01,1032,Terra,MODIS,80,61.03,307.8,31.9,D,0
10.0565,-1.0612,325.3,1.2,1.1,2023-01-01,1032,Terra,MODIS,70,61.03,309,12.4,D,0
10.0548,-1.0504,327.2,1.2,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,308.6,16,D,0
10.0515,-1.0287,338.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,86,61.03,308.3,39.7,D,0
9.938,-0.2965,340.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,88,61.03,308.3,48,D,0
9.9361,-0.2844,327.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,74,61.03,307.8,19.2,D,0
9.9748,-0.664,322.9,1.3,1.1,2023-01-01,1032,Terra,MODIS,62,61.03,309.3,12.3,D,0
10.1732,-2.135,318.9,1.1,1,2023-01-01,1032,Terra,MODIS,48,61.03,306.5,6.1,D,0
9.9321,-0.5881,322.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,17,61.03,308.9,10,D,0
10.0205,-1.1718,320.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,53,61.03,308.7,6.6,D,0
10.0892,-1.6913,326.2,1.1,1.1,2023-01-01,1032,Terra,MODIS,72,61.03,308.7,14.2,D,0
9.9246,-0.607,322.9,1.3,1.1,2023-01-01,1032,Terra,MODIS,19,61.03,308,10.6,D,0
9.9228,-0.5954,347.3,1.3,1.1,2023-01-01,1032,Terra,MODIS,93,61.03,309.5,64.5,D,0
9.921,-0.5838,330.8,1.3,1.1,2023-01-01,1032,Terra,MODIS,73,61.03,307.4,24.1,D,0
9.9146,-0.6085,322.3,1.3,1.1,2023-01-01,1032,Terra,MODIS,21,61.03,309.1,10.3,D,0
9.9128,-0.597,332.1,1.3,1.1,2023-01-01,1032,Terra,MODIS,80,61.03,309.6,28,D,0
9.9869,-1.2098,323.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,67,61.03,309.5,12,D,0
9.977,-1.1456,322.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,65,61.03,307.2,10.4,D,0
9.932,-0.9183,327.4,1.2,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,307.9,18.8,D,0
9.9222,-0.9198,339.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,87,61.03,306.8,41.2,D,0
9.9205,-0.9088,329,1.2,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,308,20.3,D,0
9.9188,-0.8977,325.2,1.2,1.1,2023-01-01,1032,Terra,MODIS,42,61.03,308.7,13.8,D,0
9.9329,-1.0528,327.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,308.9,18.2,D,0
9.7093,-0.0148,320.8,1.4,1.2,2023-01-01,1032,Terra,MODIS,41,61.03,308,10.4,D,0
9.7792,-0.5287,322.8,1.3,1.1,2023-01-01,1032,Terra,MODIS,63,61.03,309.2,11.3,D,0
9.7709,-0.542,320,1.3,1.1,2023-01-01,1032,Terra,MODIS,29,61.03,307.3,6.3,D,0
9.6945,-0.0565,335.3,1.4,1.2,2023-01-01,1032,Terra,MODIS,84,61.03,308.1,39.2,D,0
9.9982,-2.0753,318.6,1.1,1,2023-01-01,1032,Terra,MODIS,49,61.03,306,7.4,D,0
9.7773,-0.6482,321.3,1.3,1.1,2023-01-01,1032,Terra,MODIS,62,61.03,308.8,10.8,D,0
10.0512,-2.486,322.4,1.1,1,2023-01-01,1032,Terra,MODIS,67,61.03,305.7,9.4,D,0
9.8768,-1.5708,389,1.1,1.1,2023-01-01,1032,Terra,MODIS,100,61.03,310.5,225.3,D,0
9.8752,-1.5605,359.2,1.1,1.1,2023-01-01,1032,Terra,MODIS,99,61.03,306.7,90.1,D,0
9.6068,-0.1533,316.7,1.4,1.2,2023-01-01,1032,Terra,MODIS,43,61.03,305.7,7.6,D,0
9.5844,-0.0794,317.7,1.4,1.2,2023-01-01,1032,Terra,MODIS,53,61.03,306.2,10.1,D,0
9.7435,-1.1499,323.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,69,61.03,308.7,11.8,D,0
